id,name,age
0,Personne_0,25
1,Personne_1,52
2,Personne_2,47
3,Personne_3,27
4,Personne_4,28
5,Personne_5,40
6,Personne_6,52
7,Personne_7,26
8,Personne_8,19
9,Personne_9,20
10,Personne_10,21
11,Personne_11,43
12,Personne_12,46
13,Personne_13,26
14,Personne_14,35
15,Personne_15,28
16,Personne_16,42
17,Personne_17,32
18,Personne_18,46
19,Personne_19,46
20,Personne_20,33
21,Personne_21,34
22,Personne_22,19
23,Personne_23,36
24,Personne_24,25
25,Personne_25,32
26,Personne_26,51
27,Personne_27,41
28,Personne_28,55
29,Personne_29,39
30,Personne_30,28
31,Personne_31,55
32,Personne_32,28
33,Personne_33,25
34,Personne_34,33
35,Personne_35,32
36,Personne_36,17
37,Personne_37,25
38,Personne_38,24
39,Personne_39,46
40,Personne_40,32
41,Personne_41,22
42,Personne_42,42
43,Personne_43,18
44,Personne_44,37
45,Personne_45,26
46,Personne_46,51
47,Personne_47,37
48,Personne_48,55
49,Personne_49,25
50,Personne_50,21
51,Personne_51,20
52,Personne_52,47
53,Personne_53,26
54,Personne_54,40
55,Personne_55,45
56,Personne_56,36
57,Personne_57,21
58,Personne_58,30
59,Personne_59,36
60,Personne_60,33
61,Personne_61,56
62,Personne_62,56
63,Personne_63,28
64,Personne_64,48
65,Personne_65,31
66,Personne_66,33
67,Personne_67,31
68,Personne_68,48
69,Personne_69,32
70,Personne_70,26
71,Personne_71,58
72,Personne_72,34
73,Personne_73,23
74,Personne_74,56
75,Personne_75,57
76,Personne_76,25
77,Personne_77,54
78,Personne_78,36
79,Personne_79,53
80,Personne_80,54
81,Personne_81,15
82,Personne_82,39
83,Personne_83,35
84,Personne_84,29
85,Personne_85,17
86,Personne_86,60
87,Personne_87,56
88,Personne_88,18
89,Personne_89,48
90,Personne_90,20
91,Personne_91,39
92,Personne_92,39
93,Personne_93,49
94,Personne_94,46
95,Personne_95,42
96,Personne_96,24
97,Personne_97,19
98,Personne_98,36
99,Personne_99,26
